ListEntry,Name,hyperlink,NGR,Easting,Northing,grade,lat,lon
1001718,Mound S of Woodbrook,https://historicengland.org.uk/listing/the-list/list-entry/1001718,SO 30447 54456,330447,254456,NA,52.18394763264222,-3.01872132411239
1001719,Castle Twts,https://historicengland.org.uk/listing/the-list/list-entry/1001719,SO 27703 55474,327703,255474,NA,52.19274489859836,-3.0590661101697605
1001720,Lyonshall Castle,https://historicengland.org.uk/listing/the-list/list-entry/1001720,SO 33165 56319,333165,256319,NA,52.20103089515068,-2.979341482005801
1001721,Mound 1200yds (1100m) NNE of the Church,https://historicengland.org.uk/listing/the-list/list-entry/1001721,SO 37237 68101,337237,268101,NA,52.30742046128547,-2.9219629937513574
1001722,Limebrook Priory,https://historicengland.org.uk/listing/the-list/list-entry/1001722,SO 37411 66071,337411,266071,NA,52.289192529893576,-2.9190333553832035
1001723,"Two bowl barrows, one 220m east of Lower Longbeak and the other 320m east of Higher Longbeak",https://historicengland.org.uk/listing/the-list/list-entry/1001723,"SS 19954 03896, SS 19871 03235",219871,103235,NA,50.800605873062665,-4.557574413433812
1001724,Megalithic tomb 220yds (200m) SW of Trevarthen,https://historicengland.org.uk/listing/the-list/list-entry/1001724,SW 40442 29570,140442,29570,NA,50.10935443920342,-5.631627386327408
1001725,Hut circle 280yds (250m) SW of Trevarthen,https://historicengland.org.uk/listing/the-list/list-entry/1001725,SW 40423 29519,140423,29519,NA,50.108888381330146,-5.6318578953360765
1001726,Cast iron footbridge at Perran Mill,https://historicengland.org.uk/listing/the-list/list-entry/1001726,SW7755338420,177553,38420,NA,50.20389721875372,-5.118630111971502
1001727,Round cairn 185m NNW of Old Hilltop Farm,https://historicengland.org.uk/listing/the-list/list-entry/1001727,SW 69553 36438,169553,36438,NA,50.18303899993931,-5.229351264109386
1001728,Kerbed cairn called Hangman's Barrow,https://historicengland.org.uk/listing/the-list/list-entry/1001728,SW 67336 36666,167336,36666,NA,50.184219276948085,-5.260492509687276
1001729,Round cairn and kerbed cairn 300m north east of Blackrock Farm,https://historicengland.org.uk/listing/the-list/list-entry/1001729,SW6643335045,166433,35045,NA,50.16930909632036,-5.272124459969494
1001730,Two bowl barrows 250m west of Silverwell Farm,https://historicengland.org.uk/listing/the-list/list-entry/1001730,"SW 73071 33232, SW 73025 33193",173071,33232,NA,50.155608879631934,-5.178241661895994
1001731,"Offa's Dyke: Rushock Hill section, extending 1630yds (1490m) E to Kennel Wood",https://historicengland.org.uk/listing/the-list/list-entry/1001731,SO 29562 59529,329562,259529,NA,52.22943591269873,-3.0327203863951913
